Scheme	Time (s)	Delay (ms)
bbr	4.771000	74.76
bbr	4.771026	74.74
bbr	4.773069	74.54
bbr	4.774185	75.62
bbr	4.790540	89.66
bbr	4.790575	89.67
bbr	4.794700	91.51
bbr	4.795310	92.06
bbr	4.798193	92.65
bbr	4.799347	93.77
bbr	4.801182	93.29
bbr	4.803271	95.35
bbr	4.805093	94.89
bbr	4.806288	96.05
bbr	4.815405	102.87
bbr	4.815444	102.87
bbr	4.815484	100.67
bbr	4.815508	100.67
bbr	4.817558	100.38
bbr	4.818715	101.50
bbr	4.821947	102.44
bbr	4.824072	104.53
bbr	4.824152	102.34
bbr	4.825193	103.36
bbr	4.825244	101.07
bbr	4.825266	101.05
bbr	4.837086	110.62
bbr	4.837128	110.62
bbr	4.837175	108.33
bbr	4.855678	126.80
bbr	4.855761	124.59
bbr	4.855786	124.58
bbr	4.855829	122.38
bbr	4.855851	122.36
bbr	4.855891	120.08
bbr	4.855912	120.06
bbr	4.857814	118.13
bbr	4.857836	118.12
bbr	4.857881	114.34
bbr	4.858965	115.39
bbr	4.871122	123.67
bbr	4.871178	123.69
bbr	4.871208	119.87
bbr	4.871216	119.84
bbr	4.871225	116.06
bbr	4.871258	116.06
bbr	4.871301	112.20
bbr	4.871349	112.21
bbr	4.880295	117.36
bbr	4.880385	117.40
bbr	4.880402	113.53
bbr	4.880413	113.50
bbr	4.883384	112.67
bbr	4.887590	116.83
bbr	4.897283	122.64
bbr	4.897323	122.65
bbr	4.897360	118.88
bbr	4.897393	118.88
bbr	4.897417	115.09
bbr	4.897429	115.05
bbr	4.897455	111.17
bbr	4.899490	113.17
bbr	4.899569	109.49
bbr	4.899585	109.47
bbr	4.900577	106.60
bbr	4.901777	107.77
bbr	4.902898	105.95
bbr	4.904021	107.03
bbr	4.905014	105.19
bbr	4.906071	106.21
bbr	4.906169	103.44
bbr	4.909396	106.63
bbr	4.909460	103.82
bbr	4.910460	104.79
bbr	4.912753	104.18
bbr	4.912788	104.17
bbr	4.913818	102.38
bbr	4.915261	103.79
bbr	4.917120	102.79
bbr	4.917157	102.75
bbr	4.918241	99.47
bbr	4.919427	100.64
bbr	4.920490	96.34
bbr	4.921623	97.44
bbr	4.922117	96.49
bbr	4.924128	98.47
bbr	4.926255	97.70
bbr	4.926290	97.71
bbr	4.928040	90.05
bbr	4.929840	91.79
bbr	4.930854	91.39
bbr	4.931699	92.19
bbr	4.934011	91.37
bbr	4.934596	91.90
bbr	4.935646	88.72
bbr	4.937808	90.83
bbr	4.938636	90.20
bbr	4.939802	91.33
bbr	4.942710	91.38
bbr	4.942746	91.39
bbr	4.944438	66.69
bbr	4.945571	67.77
bbr	4.946692	67.47
bbr	4.948371	69.11
bbr	4.950395	68.25
bbr	4.951510	69.33
bbr	4.952608	67.54
bbr	4.954291	69.19
bbr	4.955387	67.38
bbr	4.958180	70.11
bbr	4.959336	68.45
bbr	4.959374	68.45
bbr	4.960408	66.61
bbr	4.961526	67.69
bbr	4.963824	51.30
bbr	4.968777	56.18
bbr	4.968867	54.84
bbr	4.968880	54.82
bbr	4.974552	57.64
bbr	4.976713	59.76
