Scheme	Time (s)	Delay (ms)
pybbr	4.580522	33.96
pybbr	4.582044	34.31
pybbr	4.584263	35.40
pybbr	4.584280	34.26
pybbr	4.585397	34.13
pybbr	4.586514	34.00
pybbr	4.588896	35.22
pybbr	4.590121	35.31
pybbr	4.590143	34.15
pybbr	4.592442	35.30
pybbr	4.592458	34.15
pybbr	4.594695	35.21
pybbr	4.595888	35.27
pybbr	4.597186	35.35
pybbr	4.597202	34.25
pybbr	4.598213	34.10
pybbr	4.600576	35.24
pybbr	4.601700	35.20
pybbr	4.602800	34.96
pybbr	4.604137	35.17
pybbr	4.605254	35.12
pybbr	4.606321	34.99
pybbr	4.607530	35.05
pybbr	4.608623	35.00
pybbr	4.610968	36.15
pybbr	4.611100	35.13
pybbr	4.612197	34.97
pybbr	4.613295	34.95
pybbr	4.614361	34.80
pybbr	4.615647	34.88
pybbr	4.616971	35.03
pybbr	4.618194	35.08
pybbr	4.619359	35.11
pybbr	4.620425	34.99
pybbr	4.621670	35.07
pybbr	4.622942	35.17
pybbr	4.625275	36.38
pybbr	4.625291	35.17
pybbr	4.626339	35.08
pybbr	4.627641	35.22
pybbr	4.628716	35.13
pybbr	4.630185	35.42
pybbr	4.632278	36.34
pybbr	4.632294	35.19
pybbr	4.633566	35.34
pybbr	4.634284	34.86
pybbr	4.636127	35.55
pybbr	4.637227	35.45
pybbr	4.639524	36.59
pybbr	4.639541	35.44
pybbr	4.640683	35.43
pybbr	4.642025	35.61
pybbr	4.643148	35.55
pybbr	4.645426	36.67
pybbr	4.645442	35.50
pybbr	4.646495	35.41
pybbr	4.648948	36.64
pybbr	4.649187	35.77
pybbr	4.650190	35.50
pybbr	4.651367	35.50
pybbr	4.652526	35.47
pybbr	4.655062	36.88
pybbr	4.656153	36.81
pybbr	4.657410	36.72
pybbr	4.657444	35.65
pybbr	4.658523	35.59
pybbr	4.660760	36.50
pybbr	4.661890	36.47
pybbr	4.662961	36.42
pybbr	4.664168	36.34
pybbr	4.664183	35.21
pybbr	4.666649	36.44
pybbr	4.667727	36.39
pybbr	4.668592	36.06
pybbr	4.669531	35.79
pybbr	4.670474	35.54
pybbr	4.672337	36.24
pybbr	4.673401	36.17
pybbr	4.674191	35.77
pybbr	4.675090	35.48
pybbr	4.677927	37.14
pybbr	4.678864	36.88
pybbr	4.679926	36.74
pybbr	4.680706	36.39
pybbr	4.681601	36.09
pybbr	4.682581	35.85
pybbr	4.684424	36.47
pybbr	4.685488	36.33
pybbr	4.686261	35.96
pybbr	4.687183	35.71
pybbr	4.688160	35.49
pybbr	4.691993	38.20
pybbr	4.692009	37.05
pybbr	4.692803	36.61
pybbr	4.693783	36.44
pybbr	4.694698	36.22
pybbr	4.696573	36.96
pybbr	4.697637	36.80
pybbr	4.698430	36.48
pybbr	4.699375	36.21
pybbr	4.700301	35.92
pybbr	4.702102	36.56
pybbr	4.703165	36.52
pybbr	4.704256	36.69
pybbr	4.705872	37.37
pybbr	4.706828	37.39
pybbr	4.708634	38.26
pybbr	4.709683	38.38
pybbr	4.710544	38.31
pybbr	4.711507	38.34
