Scheme	Traffic	Time (s)	Throughput (Mbit/s)
bbr	egress	17.25	2.56
bbr	egress	17.40	2.00
bbr	egress	17.55	2.72
bbr	egress	17.70	2.24
bbr	egress	17.85	1.04
bbr	egress	18.00	1.12
bbr	egress	18.15	0.80
bbr	egress	18.30	1.36
bbr	egress	18.45	4.40
bbr	egress	18.60	3.12
bbr	egress	18.75	3.44
bbr	egress	18.90	3.36
bbr	egress	19.05	4.08
bbr	egress	19.20	4.08
bbr	egress	19.35	4.48
bbr	egress	19.50	5.12
bbr	egress	19.65	5.12
bbr	egress	19.80	6.00
bbr	egress	19.95	6.72
bbr	egress	20.10	7.76
bbr	egress	20.25	8.72
bbr	egress	20.40	9.44
bbr	egress	20.55	8.88
bbr	egress	20.70	10.40
bbr	egress	20.85	11.36
bbr	egress	21.00	11.20
bbr	egress	21.15	12.16
bbr	egress	21.30	11.12
bbr	egress	21.45	12.72
bbr	egress	21.60	13.04
bbr	egress	21.75	13.28
bbr	egress	21.90	14.72
bbr	egress	22.05	13.84
bbr	egress	22.20	12.80
bbr	egress	22.35	10.00
bbr	egress	22.50	11.04
bbr	egress	22.65	11.68
bbr	egress	22.80	9.20
bbr	egress	22.95	12.08
bbr	egress	23.10	11.92
bbr	egress	23.25	11.84
bbr	egress	23.40	12.00
bbr	egress	23.55	10.64
bbr	egress	23.70	2.64
bbr	egress	23.85	0.96
bbr	egress	24.00	8.40
bbr	egress	24.15	9.84
bbr	egress	24.30	8.96
bbr	egress	24.45	9.68
bbr	egress	24.60	10.96
bbr	egress	24.75	10.56
bbr	egress	24.90	8.32
bbr	egress	25.05	8.88
bbr	egress	25.20	9.28
bbr	egress	25.35	9.60
bbr	egress	25.50	10.00
bbr	egress	25.65	9.12
bbr	egress	25.80	8.08
bbr	egress	25.95	8.00
bbr	egress	26.10	7.68
bbr	egress	26.25	6.48
bbr	egress	26.40	6.72
bbr	egress	26.55	9.04
bbr	egress	26.70	7.60
bbr	egress	26.85	5.76
bbr	egress	27.00	8.24
bbr	egress	27.15	8.48
bbr	egress	27.30	8.16
bbr	egress	27.45	7.92
bbr	egress	27.60	7.84
bbr	egress	27.75	9.20
bbr	egress	27.90	10.80
bbr	egress	28.05	8.64
bbr	egress	28.20	7.84
bbr	egress	28.35	10.56
bbr	egress	28.50	9.36
bbr	egress	28.65	10.40
bbr	egress	28.80	8.72
bbr	egress	28.95	10.64
bbr	egress	29.10	9.60
bbr	egress	29.25	10.32
bbr	egress	29.40	9.12
bbr	egress	29.55	8.64
bbr	egress	29.70	8.00
bbr	egress	29.85	8.72
bbr	egress	30.00	9.60
bbr	egress	30.15	9.76
bbr	egress	30.30	10.40
bbr	egress	30.45	10.40
bbr	egress	30.60	11.36
bbr	egress	30.75	10.64
bbr	egress	30.90	12.24
bbr	egress	31.05	9.84
bbr	egress	31.20	6.96
bbr	egress	31.35	5.44
bbr	egress	31.50	4.72
bbr	egress	31.65	5.60
bbr	egress	31.80	5.20
bbr	egress	31.95	7.44
bbr	egress	32.10	6.08
bbr	egress	32.25	5.04
bbr	egress	32.40	5.76
bbr	egress	32.55	4.96
bbr	egress	32.70	4.88
bbr	egress	32.85	3.52
bbr	egress	33.00	3.92
bbr	egress	33.15	3.36
bbr	egress	33.30	0.16
bbr	ingress	3.15	2.41
bbr	ingress	3.30	5.76
bbr	ingress	3.45	5.68
bbr	ingress	3.60	6.32
bbr	ingress	3.75	5.20
bbr	ingress	3.90	4.00
bbr	ingress	4.05	7.20
bbr	ingress	4.20	8.16
bbr	ingress	4.35	8.48
bbr	ingress	4.50	8.64
bbr	ingress	4.65	8.32
bbr	ingress	4.80	5.28
bbr	ingress	4.95	7.84
bbr	ingress	5.10	9.76
bbr	ingress	5.25	9.76
bbr	ingress	5.40	7.68
bbr	ingress	5.55	9.44
bbr	ingress	5.70	8.00
bbr	ingress	5.85	7.84
bbr	ingress	6.00	7.68
bbr	ingress	6.15	6.40
bbr	ingress	6.30	6.56
bbr	ingress	6.45	9.92
bbr	ingress	6.60	9.92
bbr	ingress	6.75	8.00
bbr	ingress	6.90	8.16
bbr	ingress	7.05	8.16
